Normal,Batch,Idle,FIFO,Round Robin
0.730,0.699,0.751,0.711,0.751
0.718,0.721,0.727,0.712,0.721
0.743,0.714,0.725,0.728,0.710
0.718,0.713,0.727,0.719,0.708
0.733,0.718,0.712,0.715,0.728
0.761,0.746,0.703,0.746,0.693
0.718,0.710,0.705,0.730,0.697
0.708,0.702,0.726,0.708,0.705
0.700,0.704,0.708,0.745,0.704
0.702,0.707,0.701,0.698,0.714
