Normal,Batch,Idle,FIFO,Round Robin
0.382,0.362,0.380,0.369,0.372
0.374,0.366,0.366,0.369,0.368
0.380,0.358,0.397,0.381,0.378
0.373,0.359,0.361,0.369,0.367
0.387,0.369,0.381,0.358,0.366
0.362,0.362,0.364,0.361,0.371
0.371,0.374,0.370,0.374,0.367
0.379,0.398,0.367,0.369,0.366
0.362,0.362,0.370,0.366,0.376
0.398,0.393,0.405,0.373,0.374
