Normal,Batch,Idle,FIFO,Round Robin
0.203,0.202,0.254,0.244,0.245
0.307,0.261,0.253,0.245,0.246
0.205,0.258,0.232,0.243,0.244
0.200,0.197,0.200,0.246,0.244
0.207,0.226,0.266,0.244,0.246
0.216,0.206,0.201,0.243,0.244
0.208,0.194,0.201,0.243,0.245
0.207,0.197,0.201,0.245,0.244
0.205,0.200,0.201,0.244,0.245
0.245,0.196,0.213,0.244,0.247
