Normal,Batch,Idle,FIFO,Round Robin
0.280,0.260,0.235,0.290,0.246
0.256,0.225,0.251,0.292,0.244
0.241,0.265,0.236,0.290,0.248
0.261,0.228,0.230,0.289,0.244
0.233,0.222,0.222,0.289,0.245
0.227,0.220,0.222,0.290,0.246
0.235,0.224,0.223,0.289,0.243
0.233,0.221,0.224,0.290,0.245
0.233,0.222,0.225,0.289,0.246
0.262,0.222,0.273,0.292,0.247
