Normal,Batch,Idle,FIFO,Round Robin
0.290,0.234,0.198,0.211,0.211
0.214,0.191,0.194,0.211,0.212
0.213,0.192,0.219,0.211,0.212
0.213,0.251,0.269,0.212,0.212
0.262,0.246,0.253,0.212,0.211
0.257,0.197,0.193,0.210,0.212
0.206,0.192,0.194,0.211,0.211
0.264,0.208,0.267,0.212,0.212
0.239,0.197,0.195,0.211,0.212
0.242,0.193,0.190,0.211,0.211
