Normal,Batch,Idle,FIFO,Round Robin
0.213,0.207,0.206,0.187,0.186
0.225,0.203,0.214,0.187,0.186
0.219,0.202,0.261,0.186,0.187
0.231,0.243,0.206,0.186,0.186
0.227,0.211,0.216,0.186,0.186
0.216,0.204,0.210,0.187,0.186
0.206,0.203,0.217,0.186,0.186
0.223,0.211,0.253,0.186,0.186
0.231,0.206,0.216,0.186,0.186
0.212,0.201,0.205,0.186,0.186
