Normal,Batch,Idle,FIFO,Round Robin
0.233,0.195,0.237,0.187,0.188
0.282,0.207,0.201,0.186,0.187
0.279,0.206,0.194,0.186,0.186
0.310,0.201,0.198,0.186,0.186
0.283,0.235,0.192,0.186,0.186
0.239,0.192,0.201,0.186,0.186
0.264,0.241,0.297,0.186,0.187
0.297,0.235,0.255,0.188,0.186
0.233,0.197,0.209,0.186,0.186
0.208,0.191,0.283,0.187,0.187
