Normal,Batch,Idle,FIFO,Round Robin
0.255,0.254,0.266,0.246,0.247
0.273,0.251,0.248,0.249,0.248
0.340,0.299,0.255,0.250,0.248
0.272,0.264,0.246,0.245,0.248
0.287,0.245,0.249,0.250,0.249
0.255,0.247,0.251,0.245,0.249
0.281,0.255,0.246,0.252,0.250
0.270,0.249,0.269,0.248,0.246
0.254,0.247,0.249,0.249,0.247
0.263,0.253,0.281,0.250,0.249
