Normal,Batch,Idle,FIFO,Round Robin
0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.002,0.001
0.001,0.001,0.001,0.001,0.001
0.001,0.002,0.001,0.001,0.001
0.001,0.002,0.002,0.001,0.001
0.001,0.001,0.001,0.001,0.001
0.002,0.001,0.001,0.001,0.001
0.000,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001
0.001,0.002,0.001,0.001,0.001
