Threads,Normal,Batch,Idle,FIFO,Round Robin
1,0.061,0.047,0.050,0.048,0.058
2,0.036,0.040,0.044,0.023,0.012
3,0.086,0.054,0.035,0.007,0.004
4,0.102,0.050,0.105,0.002,0.002
5,0.053,0.045,0.051,0.003,0.005
6,0.070,0.073,0.072,0.006,0.005
7,0.084,0.060,0.079,0.002,0.001
8,0.025,0.042,0.056,0.001,0.001
9,0.107,0.067,0.066,0.003,0.003
10,0.058,0.051,0.077,0.002,0.001
