Normal,Batch,Idle,FIFO,Round Robin
0.001,0.003,0.001,0.001,0.001
0.001,0.002,0.006,0.001,0.001
0.001,0.001,0.001,0.001,0.001
0.003,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001
0.003,0.001,0.001,0.001,0.001
0.002,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001
