Normal,Batch,Idle,FIFO,RR
1.899,1.919,1.891,1.895,1.937
2.032,1.905,1.933,1.915,1.942
1.883,2.023,2.193,1.898,1.948
2.118,1.896,1.891,1.917,1.951
2.086,2.121,1.990,1.897,1.942
1.958,1.889,1.906,1.895,1.891
1.884,1.884,1.899,1.892,1.969
1.923,1.885,1.890,1.917,1.970
1.990,1.903,2.273,1.895,1.935
2.024,1.965,1.887,1.907,1.979
