Normal,Batch,Idle,FIFO,RR
1.939,1.944,1.897,2.475,2.047
2.035,1.975,1.960,2.395,2.094
2.068,2.068,1.989,2.452,2.050
1.974,2.036,1.954,2.454,2.048
1.983,2.003,1.958,2.464,2.048
2.028,1.900,1.967,2.449,2.046
2.076,1.956,2.243,2.445,2.046
1.992,2.008,2.030,2.398,2.046
1.890,1.963,1.985,2.446,2.045
2.045,1.939,1.981,2.406,2.092
