Threads,Normal,Batch,Idle,FIFO,RR
1,6.97860,6.98443,7.16980,6.94637,7.08318
2,3.56087,3.53685,3.56626,3.61809,3.55760
3,2.43669,2.45454,2.50525,2.48738,2.46410
4,2.12015,1.91661,2.27219,2.11693,1.97822
5,2.22344,2.92514,2.29906,2.30826,2.28375
6,2.06729,2.47413,2.24215,2.07530,2.09299
7,2.07019,2.16502,2.24844,2.18822,1.98294
8,1.91853,1.90391,2.08735,2.27994,2.16814
9,2.21546,2.51520,2.24351,2.12503,2.02917
10,1.95566,2.25904,1.96471,2.23000,1.97942
