Normal,Batch,Idle,FIFO,RR
6.912,6.880,6.843,6.986,7.058
6.944,6.916,6.995,6.901,7.009
6.908,6.903,6.946,6.902,6.964
6.855,6.927,6.878,6.888,6.959
6.889,6.935,7.170,6.939,6.990
6.869,6.821,7.171,6.914,7.084
6.888,6.899,6.836,6.919,6.900
6.865,6.980,7.081,6.932,7.041
6.832,6.962,7.078,6.837,6.918
6.948,6.928,7.110,6.897,6.874
