Threads,Normal,Batch,Idle,FIFO,RR
1,6.92049,6.90741,7.03587,6.88764,6.97610
2,3.50931,3.51265,3.52364,3.51622,3.51875
3,2.40230,2.43420,2.40202,2.42748,2.43531
4,1.86297,1.89404,1.87963,1.89226,1.94060
5,1.81461,1.52760,1.81055,1.85886,1.53624
6,1.79747,1.28539,1.82617,1.79319,1.64994
7,1.80792,1.12065,1.79435,1.82943,1.86064
8,1.80191,1.38227,1.81753,1.79489,1.73493
9,1.78602,1.63660,1.78388,1.77268,1.58576
10,1.79918,1.47291,1.77690,1.83274,1.37301
