Normal,Batch,Idle,FIFO,Round Robin
0.236,0.211,0.206,0.221,0.222
0.214,0.202,0.195,0.222,0.222
0.208,0.195,0.199,0.220,0.221
0.205,0.194,0.193,0.222,0.222
0.210,0.245,0.270,0.222,0.222
0.212,0.195,0.210,0.222,0.221
0.207,0.221,0.252,0.220,0.222
0.263,0.225,0.200,0.220,0.221
0.208,0.194,0.199,0.220,0.221
0.259,0.207,0.257,0.222,0.222
