Threads,Normal,Batch,Idle,FIFO,RR
1,0.11600,0.15900,0.33500,0.14900,0.21000
2,0.11300,0.06100,0.05900,0.02900,0.05500
3,0.06700,0.03600,0.10700,0.02100,0.03200
4,0.23500,0.23700,0.38600,0.02500,0.08800
5,0.39200,0.33900,0.37100,0.08900,0.07900
6,0.18600,0.16800,0.34600,0.08000,0.04900
7,0.29700,0.18500,0.33600,0.07200,0.02800
8,0.36900,0.04800,0.21400,0.01400,0.03900
9,0.24000,0.30700,0.35300,0.11900,0.08000
10,0.35800,0.07500,0.08700,0.08600,0.02600
