Threads,Normal,Batch,Idle,FIFO,RR
1,6.94800,6.98000,7.17100,6.98600,7.08400
2,3.61900,3.56200,3.56700,3.53800,3.55800
3,2.48800,2.43700,2.50600,2.45500,2.46500
4,2.11800,2.12100,2.27300,1.91700,1.97900
5,2.30900,2.22500,2.30000,2.92600,2.28500
6,2.07600,2.06800,2.24300,2.47500,2.09400
7,2.18900,2.07100,2.24900,2.16600,1.98400
8,2.28100,1.92000,2.08800,1.90500,2.16900
9,2.12600,2.21700,2.24400,2.51600,2.03000
10,2.23100,1.95700,1.96600,2.26000,1.98000
