Normal,Batch,Idle,FIFO,RR
2.010,1.998,2.164,2.887,2.284
2.064,1.973,2.028,2.886,2.260
2.035,1.994,1.929,2.893,2.285
2.309,2.199,2.212,2.910,2.278
1.946,2.020,2.207,2.920,2.270
2.161,2.159,2.137,2.893,2.258
2.200,1.886,2.137,2.926,2.257
1.917,2.006,2.300,2.893,2.270
2.056,2.080,1.991,2.837,2.206
2.098,2.225,2.107,2.917,2.280
