Normal,Batch,Idle,FIFO,RR
3.532,3.552,3.531,3.538,3.548
3.521,3.530,3.567,3.509,3.532
3.511,3.513,3.508,3.532,3.520
3.506,3.515,3.520,3.512,3.525
3.514,3.501,3.511,3.516,3.518
3.619,3.508,3.539,3.533,3.536
3.510,3.520,3.509,3.515,3.508
3.537,3.562,3.541,3.510,3.505
3.569,3.520,3.551,3.519,3.558
3.511,3.503,3.513,3.510,3.503
