Normal,Batch,Idle,FIFO,RR
2.434,2.406,2.406,2.435,2.437
2.430,2.408,2.402,2.437,2.434
2.434,2.431,2.403,2.449,2.435
2.421,2.437,2.506,2.448,2.456
2.455,2.403,2.407,2.443,2.444
2.424,2.416,2.450,2.455,2.465
2.488,2.406,2.400,2.436,2.441
2.437,2.401,2.399,2.435,2.452
2.468,2.405,2.443,2.434,2.433
2.424,2.405,2.429,2.435,2.438
