Threads,Normal,Batch,Idle,FIFO,RR
1,6.82065,6.83600,6.83538,6.83112,6.87346
2,3.49981,3.50024,3.49666,3.50449,3.49557
3,2.39266,2.42508,2.39306,2.41726,2.42520
4,1.84315,1.88911,1.84336,1.84277,1.88365
5,1.49955,1.47286,1.50752,1.47462,1.47289
6,1.47815,1.22739,1.53990,1.33849,1.22727
7,1.51929,1.05196,1.37526,1.42963,1.05199
8,1.39713,0.92050,1.27141,1.29205,0.94975
9,1.37662,0.81824,1.30246,1.19593,0.81824
10,1.19097,0.73641,1.07940,0.91270,0.73641
