Normal,Batch,Idle,FIFO,RR
1.916,1.920,1.993,1.892,2.140
1.966,1.874,2.088,1.891,2.169
1.943,1.885,1.893,1.891,2.158
2.281,1.914,2.084,1.895,2.135
1.912,1.872,1.897,1.894,2.135
1.960,1.879,1.874,1.894,2.146
1.991,1.893,1.945,1.892,2.140
1.917,1.912,1.919,1.905,2.130
2.207,1.900,1.922,1.893,2.154
1.945,1.896,1.930,1.892,2.136
