Threads,Normal,Batch,Idle,FIFO,RR
1,6.88850,6.92150,7.03650,6.90800,6.97700
2,3.51750,3.51750,3.52550,3.51550,3.52250
3,2.43400,2.40600,2.40650,2.43650,2.43950
4,1.97400,1.90400,1.90250,1.89750,1.94500
5,2.06000,2.01300,2.13700,2.89300,2.27000
6,2.01000,1.96900,1.97400,2.44750,2.04750
7,1.93700,1.92000,1.98350,2.14200,1.95950
8,1.95250,1.89450,1.92600,1.89250,2.14000
9,1.92450,1.92100,1.95200,2.44550,2.00000
10,1.90550,1.90200,1.91050,2.21750,1.96050
