Normal,Batch,Idle,FIFO,RR
1.915,1.914,1.891,2.447,2.030
1.886,1.920,1.945,2.397,2.000
1.916,1.910,1.913,2.435,1.994
1.933,2.217,2.016,2.516,2.003
2.126,1.917,1.959,2.445,1.998
1.903,1.937,1.965,2.446,1.950
1.946,1.939,1.935,2.427,2.004
1.954,1.922,1.977,2.447,2.000
1.981,1.934,1.918,2.468,1.956
1.913,1.910,2.244,2.398,2.007
